showID,csoonID
49876,59319
49932,59321
49952,59322
48566,59323
49867,59324
49937,59325
49341,59326
49896,59327
49956,59328
49930,59329
49929,59330
49897,59331
49900,59332
49963,59333
49923,59334
49976,59335
49904,59337
49905,59338
49906,59339
49919,59340
49811,59341
49916,59342
49886,59343
49978,59344
49744,59345
49961,59347
49869,59348
49927,59349
49931,59350
49942,59351
49912,59352
49983,59354
49989,59355
50066,59356
49997,59357
50046,59358
49959,59359
49964,59360
49946,59361
49947,59362
50015,59363
50020,59364
50000,59365
49970,59367
50008,59368
49974,59369
50018,59370
49975,59371
49973,59372
49972,59375
50021,59377
49993,59378
49958,59379
50012,59380
50034,59382
50016,59385
50163,59386
50028,59387
50075,59388
50060,59389
50103,59390
50123,59391
50047,59392
50027,59393
49744,59394
50113,59395
49787,59396
50105,59397
49945,59398
50049,59399
50059,59400
50100,59401
50058,59402
50054,59403
50108,59404
49932,59405
50061,59407
50068,59408
50099,59409
50071,59410
50072,59411
50109,59412
50120,59414
50081,59416
50078,59418
50048,59419
50089,59420
50090,59421
48982,59422
50082,59423
50086,59424
50147,59425
50144,59426
50093,59428
50248,59429
50101,59430
50067,59431
50107,59432
50151,59433
50153,59434
50136,59435
50129,59436
50154,59437
50168,59438
50130,59439
50126,59440
50127,59443
50132,59444
50139,59446
50011,59448
50156,59449
49582,59450
50177,59451
50176,59452
50205,59453
50233,59454
50206,59455
50190,59456
50180,59457
50173,59458
49341,59459
50146,59460
50169,59461
50191,59462
50181,59463
50170,59464
50188,59465
50193,59466
50178,59467
50231,59468
50232,59469
50197,59470
50204,59471
50303,59472
50301,59473
50327,59474
50215,59475
50224,59476
50201,59477
50066,59478
50255,59479
50241,59480
50265,59481
50311,59482
50312,59483
50313,59484
50249,59485
50270,59486
50302,59487
50285,59488
50291,59489
50297,59490
50196,59491
49613,59492
50277,59493
50286,59494
50299,59496
50317,59497
50319,59498
50374,59499
50278,59500
50252,59501
50300,59502
49787,59503
50178,59504
50290,59505
49937,59506
50133,59507
50335,59508
50315,59509
50314,59510
50396,59511
50316,59512
50389,59513
50380,59514
50336,59515
50321,59516
50384,59517
50328,59518
50332,59519
50338,59521
50375,59522
50383,59524
50362,59525
50394,59526
50386,59527
50393,59528
50392,59529
50398,59530
50377,59531
50399,59532
50420,59533
50379,59534
50402,59536
50446,59539
50048,59543
50276,59545
49932,59546
50294,59547
50449,59548
50412,59549
50421,59550
50418,59551
50450,59552
50453,59553
50282,59554
50305,59555
50281,59556
50306,59557
50456,59558
50441,59560
50443,59561
50423,59562
50480,59563
50435,59564
50464,59565
50434,59566
50493,59567
50477,59568
50447,59569
50482,59570
50496,59571
50457,59572
50489,59573
49341,59574
50430,59575
50483,59577
50487,59578
50330,59579
50465,59582
50472,59583
50152,59584
50484,59585
50516,59586
50485,59587
50455,59588
50504,59589
50546,59590
50581,59591
50523,59592
50527,59593
50578,59595
50529,59598
50491,59599
50492,59601
50494,59602
50225,59603
50236,59604
50234,59605
50214,59606
50499,59607
50500,59608
50501,59609
50503,59610
50513,59611
50534,59612
50514,59613
50556,59614
50517,59615
50515,59616
50521,59617
50544,59618
50554,59619
50548,59620
50590,59621
50570,59622
50586,59623
50535,59624
50547,59625
50550,59626
50551,59627
50552,59628
50538,59629
50618,59630
50562,59631
50565,59632
50573,59633
50567,59634
50602,59635
50568,59636
50560,59637
50566,59638
50579,59639
50583,59640
50584,59641
50587,59642
50588,59643
50589,59644
50616,59645
50613,59646
50614,59647
49582,59648
50425,59649
50557,59651
49787,59652
50595,59653
50601,59654
50510,59655
50627,59656
50628,59657
50310,59658
50611,59659
50671,59660
50625,59661
50633,59662
50435,59663
50638,59664
50709,59665
50617,59666
50678,59667
50720,59668
50669,59669
50658,59670
50689,59671
50637,59672
50679,59673
50680,59674
50492,59675
50652,59676
50420,59677
50642,59678
50710,59679
50648,59680
50674,59681
50698,59682
50646,59683
50650,59684
50653,59685
50706,59686
50667,59689
50668,59690
50487,59691
50670,59692
50543,59693
50702,59695
49937,59696
50682,59697
50681,59699
50685,59700
50690,59701
50687,59702
50744,59703
50631,59704
50630,59705
50632,59706
50700,59707
50734,59708
50718,59709
50719,59710
50733,59711
50697,59712
50741,59713
49613,59714
50730,59715
49932,59716
50722,59717
50723,59718
50732,59719
50787,59720
50729,59721
50712,59722
50705,59723
50759,59724
50761,59725
50762,59726
50763,59727
50764,59728
50735,59729
50736,59730
50737,59731
50779,59732
50771,59733
49948,59734
50800,59735
50799,59736
50749,59737
50743,59738
50721,59739
50757,59741
50983,59742
50790,59743
50066,59744
50846,59745
50789,59746
50802,59747
50750,59748
50742,59749
50770,59750
50792,59751
50838,59752
50817,59753
50830,59754
50794,59755
50776,59756
50801,59757
50836,59759
50793,59761
50913,59762
50537,59763
50804,59765
50590,59766
49613,59767
50845,59768
50810,59769
50814,59770
50855,59771
50863,59772
50832,59773
50820,59775
50816,59776
50858,59777
50862,59778
50826,59779
50831,59780
50839,59781
50852,59782
50745,59783
50843,59784
50844,59785
50853,59786
50880,59788
50926,59789
50420,59790
50835,59791
50848,59792
50849,59793
50885,59795
49826,59797
50856,59798
50901,59799
50811,59800
50905,59801
49787,59802
50875,59803
50882,59804
50875,59805
50889,59807
50894,59808
50919,59809
50916,59810
50946,59812
50935,59813
50937,59814
50954,59815
50999,59816
50932,59817
50927,59818
50936,59819
50947,59820
50942,59821
50968,59822
50951,59823
50928,59824
